x1,x2,d_exact,output,error
-1,-1,8,7.99810813487719,3.57915364290292e-06
-1,-0.97979797979798,7.83920008162433,7.84170354542006,6.2673309765607e-06
-1,-0.95959595959596,7.68003264972962,7.686188389999,3.78931382640739e-05
-1,-0.939393939393939,7.52249770431589,7.53162503768663,8.33082144606445e-05
-1,-0.919191919191919,7.36659524538312,7.37807508790546,0.000131786784337571
-1,-0.898989898989899,7.21232527293134,7.22559910672863,0.00017619466367826
-1,-0.878787878787879,7.05968778696051,7.07425634669459,0.000212242932725331
-1,-0.858585858585859,6.90868278747067,6.92410444381125,0.000237827484287116
-1,-0.838383838383838,6.75931027446179,6.77519907425001,0.000252453958710196
-1,-0.818181818181818,6.61157024793389,6.62759349283904,0.000256744377290702
-1,-0.797979797979798,6.46546270788695,6.48133759066793,0.000252011903309744
-1,-0.777777777777778,6.32098765432099,6.33647766334579,0.000239940379588558
-1,-0.757575757575758,6.178145087236,6.19305714086346,0.000222369343388179
-1,-0.737373737373737,6.03693500663198,6.05111677950894,0.00020112268193364
-1,-0.717171717171717,5.89735741250893,5.91069468734048,0.000177882899932259
-1,-0.696969696969697,5.75941230486685,5.77182630331432,0.000154107357453855
-1,-0.676767676767677,5.62309968370575,5.63454435782861,0.000130980565778497
-1,-0.656565656565657,5.48841954902561,5.49887882706073,0.00010939649701593
-1,-0.636363636363636,5.35537190082645,5.36485688816078,8.99649847325249e-05
-1,-0.616161616161616,5.22395673910826,5.23250288000754,7.30365242703723e-05
-1,-0.595959595959596,5.09417406387103,5.10183827301249,5.87401017640499e-05
-1,-0.575757575757576,4.96602387511478,4.97288165073973,4.70290865220509e-05
-1,-0.555555555555556,4.83950617283951,4.84564870563263,3.77307091145811e-05
-1,-0.535353535353535,4.7146209570452,4.72015225078111,3.05952103929638e-05
-1,-0.515151515151515,4.59136822773186,4.59640224936055,2.53413737580756e-05
-1,-0.494949494949495,4.4697479848995,4.47440586309252,2.16958292609905e-05
-1,-0.474747474747475,4.34976022854811,4.35416752079708,1.94242249678581e-05
-1,-0.454545454545455,4.23140495867769,4.23568900781507,1.8353077011514e-05
-1,-0.434343434343434,4.11468217528824,4.11896957677093,1.83818114737831e-05
-1,-0.414141414141414,3.99959187837976,4.00400607981863,1.94851743429901e-05
-1,-0.393939393939394,3.88613406795225,3.89079312216534,2.17067861605178e-05
-1,-0.373737373737374,3.77430874400571,3.77932323630157,2.51451329851963e-05
-1,-0.353535353535354,3.66411590654015,3.66958707598695,2.99336951155897e-05
-1,-0.333333333333333,3.55555555555556,3.56157362865175,3.62172037910814e-05
-1,-0.313131313131313,3.44862769105193,3.45527044448402,4.41261731594414e-05
-1,-0.292929292929293,3.34333231302928,3.35066388008762,5.37518755309628e-05
-1,-0.272727272727273,3.2396694214876,3.24773935422682,6.51238144154626e-05
-1,-0.252525252525253,3.1376390164269,3.14648161282777,7.8191511108829e-05
-1,-0.232323232323232,3.03724109784716,3.04687500009661,9.28120725519458e-05
-1,-0.212121212121212,2.93847566574839,2.94890373234643,0.000108744572973085
-1,-0.191919191919192,2.8413427201306,2.8525521709127,0.000125651786836325
-1,-0.171717171717172,2.74584226099378,2.75780509038501,0.000143109287043739
-1,-0.151515151515152,2.65197428833793,2.664647938302,0.000160621403411773
-1,-0.131313131313131,2.55973880216304,2.57306708245039,0.000177643055418086
-1,-0.111111111111111,2.46913580246914,2.48305004198324,0.000193606061255837
-1,-0.0909090909090909,2.3801652892562,2.39458569872806,0.000207948209336118
-1,-0.0707070707070707,2.29282726252423,2.30766448529276,0.000220143179482796
-1,-0.0505050505050505,2.20712172227324,2.2222785468924,0.000229729332536049
-1,-0.0303030303030303,2.12304866850321,2.13842187420824,0.000236335453648955
-1,-0.0101010101010101,2.04060810121416,2.05609040504365,0.000239701731868517
-1,0.0101010101010101,1.95980002040608,1.97528209305012,0.000239694573355177
-1,0.0303030303030303,1.88062442607897,1.89599694234767,0.000236314256431465
-1,0.0505050505050505,1.80308131823283,1.81823700744533,0.000229694915505902
-1,0.0707070707070707,1.72717069686767,1.74200635846309,0.000220096854973871
-1,0.0909090909090909,1.65289256198347,1.66731101225302,0.000207891708175343
-1,0.111111111111111,1.58024691358025,1.59415883059804,0.000193541435110096
-1,0.131313131313131,1.50923375165799,1.52255938721812,0.00017757256308128
-1,0.151515151515152,1.43985307621671,1.45252380582166,0.000160547388721609
-1,0.171717171717172,1.3721048872564,1.38406457189325,0.000143034056612883
-1,0.191919191919192,1.30598918477706,1.3171953212965,0.000125577495692143
-1,0.212121212121212,1.2415059687787,1.25193060908577,0.000108673125531877
-1,0.232323232323232,1.1786552392613,1.18828566215748,9.27450451592315e-05
-1,0.252525252525253,1.11743699622487,1.12627611952652,7.81301007417531e-05
-1,0.272727272727273,1.05785123966942,1.06591776408752,6.50688161877671e-05
-1,0.292929292929293,0.999897969594939,1.00722624971401,5.37036895035688e-05
-1,0.313131313131313,0.943577186001428,0.950216827467277,4.40848387950119e-05
-1,0.333333333333333,0.888888888888889,0.894904074534729,3.61824583539199e-05
-1,0.353535353535354,0.835833078257321,0.841301629304249,2.99050505528622e-05
-1,0.373737373737374,0.784409754106724,0.78942193571365,2.51219644608124e-05
-1,0.393939393939394,0.734618916437098,0.73927599970318,2.16884245472256e-05
-1,0.414141414141414,0.686460565248444,0.690873160253584,1.94709946793837e-05
-1,0.434343434343434,0.639934700540761,0.644220877122423,1.83713096891894e-05
-1,0.454545454545455,0.595041322314049,0.599324537006752,1.83459281037858e-05
-1,0.474747474747475,0.551780430568309,0.556187279469613,1.94203172389179e-05
